;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;;;;;;;;
;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;0 à 19 ans;20 à 39 ans;40 à 59 ans;60 à 74 ans;75 ans et plus;Total;;;;;;;
Vosges;90 035;84 225;107 179;60 253;38 538;380 230;46 152;42 667;53 221;29 009;13 741;184 790;43 883;41 558;53 958;31 244;24 797;195 440;;;;;;;
Yonne;80 418;74 530;94 640;56 296;37 148;343 032;41 351;36 880;47 066;27 335;13 886;166 518;39 067;37 650;47 574;28 961;23 262;176 514;;;;;;;
Territoire de Belfort;35 694;37 771;38 345;19 530;12 076;143 416;18 655;20 233;19 039;9 493;4 227;71 647;17 039;17 538;19 306;10 037;7 849;71 769;;;;;;;
Essonne;335 580;330 695;329 809;148 268;77 708;1 222 060;170 863;165 261;162 349;70 754;29 644;598 871;164 717;165 434;167 460;77 514;48 064;623 189;;;;;;;
Hauts-de-Seine;401 476;475 520;409 918;178 649;115 621;1 581 184;203 998;231 746;194 026;82 843;40 950;753 563;197 478;243 774;215 892;95 806;74 671;827 621;;;;;;;
Seine-Saint-Denis;443 997;454 099;395 303;154 625;82 439;1 530 463;226 209;222 020;194 935;77 116;29 829;750 109;217 788;232 079;200 368;77 509;52 610;780 354;;;;;;;
Val-de-Marne;345 107;388 883;354 482;154 331;92 270;1 335 073;176 932;188 847;171 465;71 241;32 931;641 416;168 175;200 036;183 017;83 090;59 339;693 657;;;;;;;
Val-d'Oise;335 236;327 372;319 096;129 494;66 438;1 177 636;170 716;160 379;154 558;62 651;23 963;572 267;164 520;166 993;164 538;66 843;42 475;605 369;;;;;;;
;15 463 222;15 936 079;17 004 643;9 019 664;5 665 382;63 088 990;7 908 438;7 934 762;8 343 374;4 270 762;2 103 230;30 560 566;7 554 784;8 001 317;8 661 269;4 748 902;3 562 152;32 528 424;;;;;;;
Guadeloupe ;116 879;90 569;117 297;52 615;26 218;403 578;59 996;39 937;53 259;23 885;10 476;187 553;56 883;50 632;64 038;28 730;15 742;216 025;;;;;;;
Martinique ;103 220;86 838;119 082;54 249;29 034;392 423;52 260;38 391;53 773;24 962;11 501;180 887;50 960;48 447;65 309;29 287;17 533;211 536;;;;;;;
Guyane;102 795;67 218;48 361;11 909;3 844;234 127;52 541;31 711;24 309;5 943;1 618;116 122;50 254;35 507;24 052;5 966;2 226;118 005;;;;;;;
La Réunion;277 269;225 742;224 051;74 329;28 011;829 402;142 078;106 207;108 393;35 065;10 092;401 835;135 191;119 535;115 658;39 264;17 919;427 567;;;;;;;
;600 163;470 367;508 791;193 102;87 107;1 859 530;306 875;216 246;239 734;89 855;33 687;886 397;293 288;254 121;269 057;103 247;53 420;973 133;;;;;;;
;16 063 385;16 406 446;17 513 434;9 212 766;5 752 489;64 948 520;8 215 313;8 151 008;8 583 108;4 360 617;2 136 917;31 446 963;7 848 072;8 255 438;8 930 326;4 852 149;3 615 572;33 501 557;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
